fecha,puesto,total
01-oct-09,ux,1
01-jan-10,ux,1
01-feb-10,ux,1
01-mar-10,ux,3
01-may-10,ux,4
01-jul-10,ux,1
01-aug-10,ux,2
01-dec-10,ux,1
01-jan-11,ux,2
01-feb-11,ux,2
01-apr-11,ux,1
01-may-11,ux,4
01-jun-11,ux,4
01-aug-11,ux,2
01-sep-11,ux,1
01-oct-11,ux,2
01-nov-11,ux,3
01-dec-11,ux,1
01-jan-12,ux,7
01-jan-12,ux,7
01-feb-12,ux,7
01-mar-12,ux,1
01-apr-12,ux,2
01-may-12,ux,5
01-jun-12,ux,3
01-oct-12,ux,1
01-nov-12,ux,2
01-dec-12,ux,1
01-jan-13,ux,2
01-mar-13,ux,2
01-apr-13,ux,2
01-jun-13,ux,1
01-jul-13,ux,2
01-aug-13,ux,2
01-oct-13,ux,3
01-nov-13,ux,2
01-nov-13,ux,3
01-dec-13,ux,2
01-jan-14,ux,3
01-feb-14,ux,4
01-mar-14,ux,4
01-apr-14,ux,2
01-may-14,ux,3
01-jun-14,ux,4
01-jul-14,ux,2
01-aug-14,ux,3
01-sep-14,ux,3
01-oct-14,ux,9
01-nov-14,ux,11
01-jan-15,ux,4
01-feb-15,ux,9
01-mar-15,ux,7
01-apr-15,ux,8
01-may-15,ux,11
01-jun-15,ux,3
01-jul-15,ux,7
01-aug-15,ux,4
01-sep-15,ux,9
01-oct-15,ux,10
01-nov-15,ux,9
01-dec-15,ux,7
01-jan-16,ux,6
01-feb-16,ux,8
01-mar-16,ux,9
01-apr-16,ux,11
01-may-16,ux,12
01-jun-16,ux,10
01-jul-16,ux,7
01-aug-16,ux,6
01-sep-16,ux,10
01-oct-16,ux,5
01-nov-16,ux,11
01-dec-16,ux,9
01-jan-17,ux,5
01-feb-17,ux,9
01-mar-17,ux,12
01-apr-17,ux,7
01-may-17,ux,8
01-jun-17,ux,13
01-jul-17,ux,20
01-aug-17,ux,7
01-sep-17,ux,11
01-oct-17,ux,10
01-nov-17,ux,5
01-dec-17,ux,8
01-jan-18,ux,18
01-feb-18,ux,13
