fecha,total,mes,year
1-oct-08,6,octubre,2008
1-nov-08,4,noviembre,2008
1-dec-08,3,diciembre,2008
1-jan-09,2,enero,2009
1-feb-09,5,febrero,2009
1-mar-09,1,marzo,2009
1-apr-09,2,abril,2009
1-may-09,1,mayo,2009
1-jun-09,4,junio,2009
1-jul-09,4,julio,2009
1-aug-09,4,agosto,2009
1-sep-09,7,septiembre,2009
1-oct-09,10,octubre,2009
1-nov-09,3,noviembre,2009
1-dec-09,1,diciembre,2009
1-jan-10,4,enero,2010
1-feb-10,3,febrero,2010
1-mar-10,13,marzo,2010
1-apr-10,6,abril,2010
1-may-10,14,mayo,2010
1-jun-10,4,junio,2010
1-jul-10,3,julio,2010
1-aug-10,2,agosto,2010
1-sep-10,8,septiembre,2010
1-oct-10,8,octubre,2010
1-nov-10,9,noviembre,2010
1-dec-10,9,diciembre,2010
1-jan-11,8,enero,2011
1-feb-11,10,febrero,2011
1-mar-11,10,marzo,2011
1-apr-11,17,abril,2011
1-may-11,15,mayo,2011
1-jun-11,17,junio,2011
1-jul-11,19,julio,2011
1-aug-11,11,agosto,2011
1-sep-11,35,septiembre,2011
1-oct-11,32,octubre,2011
1-nov-11,18,noviembre,2011
1-dec-11,10,diciembre,2011
1-jan-12,8,enero,2012
1-feb-12,3,febrero,2012
1-mar-12,7,marzo,2012
1-apr-12,0,abril,2012
1-may-12,6,mayo,2012
1-jun-12,7,junio,2012
1-jul-12,5,julio,2012
1-aug-12,1,agosto,2012
1-sep-12,1,septiembre,2012
1-oct-12,6,octubre,2012
1-nov-12,7,noviembre,2012
1-dec-12,4,diciembre,2012
1-jan-13,5,enero,2013
1-feb-13,6,febrero,2013
1-mar-13,3,marzo,2013
1-apr-13,5,abril,2013
1-may-13,1,mayo,2013
1-jun-13,7,junio,2013
1-jul-13,0,julio,2013
1-aug-13,0,agosto,2013
1-sep-13,0,septiembre,2013
1-oct-13,0,octubre,2013
1-nov-13,0,noviembre,2013
1-dec-13,2,diciembre,2013
1-jan-14,0,enero,2014
1-feb-14,0,febrero,2014
1-mar-14,0,marzo,2014
1-apr-14,0,abril,2014
1-may-14,3,mayo,2014
1-jun-14,0,junio,2014
1-jul-14,0,julio,2014
1-aug-14,0,agosto,2014
1-sep-14,1,septiembre,2014
1-oct-14,0,octubre,2014
1-nov-14,0,noviembre,2014
1-dec-14,0,diciembre,2014
1-jan-15,0,enero,2015
1-feb-15,1,febrero,2015
1-mar-15,0,marzo,2015
1-apr-15,1,abril,2015
1-may-15,1,mayo,2015
1-jun-15,0,junio,2015
1-jul-15,0,julio,2015
1-aug-15,0,agosto,2015
1-sep-15,1,septiembre,2015
1-oct-15,0,octubre,2015
1-nov-15,2,noviembre,2015
1-dec-15,1,diciembre,2015
1-jan-16,2,enero,2016
1-feb-16,0,febrero,2016
1-mar-16,0,marzo,2016
1-apr-16,2,abril,2016
1-may-16,0,mayo,2016
1-jun-16,15,junio,2016
1-jul-16,14,julio,2016
1-aug-16,12,agosto,2016
1-sep-16,22,septiembre,2016
1-oct-16,18,octubre,2016
1-nov-16,19,noviembre,2016
1-dec-16,9,diciembre,2016
1-jan-17,10,enero,2017
1-feb-17,13,febrero,2017
1-mar-17,22,marzo,2017
1-apr-17,24,abril,2017
1-may-17,25,mayo,2017
1-jun-17,25,junio,2017
1-jul-17,23,julio,2017
1-aug-17,15,agosto,2017
1-sep-17,27,septiembre,2017
1-oct-17,23,octubre,2017
1-nov-17,37,noviembre,2017
1-dec-17,15,diciembre,2017
1-jan-18,19,enero,2018
1-feb-18,20,febrero,2018
1-mar-18,33,marzo,2018
1-apr-18,22,abril,2018
1-may-18,29,mayo,2018
1-jun-18,28,junio,2018
1-jul-18,30,julio,2018
1-aug-18,21,agosto,2018
1-sep-18,44,septiembre,2018
1-oct-18,47,octubre,2018
1-nov-18,62,noviembre,2018
1-dec-18,23,diciembre,2018
1-jan-19,35,enero,2019
1-feb-19,50,febrero,2019
1-mar-19,43,marzo,2019
1-apr-19,36,abril,2019
1-may-19,45,mayo,2019
